011,Educational & Pedagogical Sciences
012,Preschool Education
013,Primary Education
014,Secondary Education
015,Vocational Education
016,Special Education
053,Psychology
054,Sociology
224,Technologies of medical diagnostics and treatment
222,Medicine
225,Medical Psychology
227,Physical Therapy
229,Public Health
231,Social Work
232,Social Security
